	num_hrefs	num_imgs	num_videos	num_keywords	is_weekend	global_rate_positive_words	title_subjectivity	channel	shares
0	4.0	1.0	0.0	5.0	0.0	0.045662100456600005	0.5	entertainment	593
1	3.0	1.0	0.0	4.0	0.0	0.043137254901999995	0.0	business	711
2	3.0	1.0	0.0	6.0	0.0	0.0568720379147	0.0	business	1500
3	9.0	1.0	0.0	7.0	0.0	0.0414312617702	0.0	entertainment	1200
4	19.0	20.0	0.0	7.0	0.0	0.07462686567160001	0.45454545454499995	tech	505
5	2.0	0.0	0.0	9.0	0.0	0.0297297297297	0.642857142857	tech	855
6	21.0	20.0	0.0	10.0	0.0	0.0802083333333	0.0	lifestyle	556
7	20.0	20.0	0.0	9.0	0.0	0.0839231547017	1.0	tech	891
8	2.0	0.0	0.0	7.0	0.0	0.0309278350515	0.125	tech	3600
9	4.0	1.0	1.0	5.0	0.0	0.038961038961	0.0	world	710
10	11.0	1.0	0.0	8.0	0.0	0.0384615384615	0.0	world	2200
11	7.0	1.0	0.0	7.0	0.0	0.0267379679144	0.0	lifestyle	1900
12	18.0	11.0	0.0	8.0	0.0	0.0510948905109	1.0	lifestyle	823
13	4.0	0.0	21.0	6.0	0.0	0.028070175438599996	1.0	lifestyle	10000
14	19.0	9.0	0.0	7.0	0.0	0.015444015444	0.75	lifestyle	761
15	10.0	1.0	0.0	6.0	0.0	0.049853372434	0.75	world	1600
16	26.0	12.0	1.0	5.0	0.0	0.041144901610000006	0.5666666666669999	lifestyle	13600
17	11.0	1.0	0.0	6.0	0.0	0.0654911838791	0.0	business	3100
18	3.0	1.0	0.0	6.0	0.0	0.0291262135922	0.8571428571430001	lifestyle	5700
19	24.0	42.0	0.0	8.0	0.0	0.069594034797	0.5	tech	17100
20	21.0	20.0	0.0	10.0	0.0	0.068108974359	0.0	tech	2800
21	9.0	1.0	1.0	7.0	0.0	0.0179028132992	0.0	world	598
22	20.0	20.0	0.0	7.0	0.0	0.0745233968804	0.0	tech	445
23	1.0	1.0	0.0	6.0	0.0	0.048	0.45	world	1500
24	3.0	1.0	0.0	4.0	0.0	0.016393442623	0.7	business	852
25	5.0	1.0	0.0	10.0	0.0	0.0112781954887	0.9	tech	783
26	5.0	1.0	0.0	9.0	0.0	0.06042296072509999	0.0	tech	1500
27	22.0	28.0	0.0	9.0	0.0	0.0644897959184	0.5	tech	1800
28	1.0	0.0	0.0	10.0	0.0	0.0493827160494	0.0	lifestyle	462
29	18.0	1.0	0.0	6.0	0.0	0.0636237897649	0.5	business	425
30	8.0	1.0	1.0	7.0	0.0	0.0550847457627	0.0	business	3200
31	2.0	19.0	0.0	7.0	0.0	0.0537124802528	0.0	tech	3900
32	0.0	14.0	0.0	9.0	0.0	0.0620689655172	0.0	tech	480
33	5.0	1.0	0.0	6.0	0.0	0.043551088777199994	1.0	lifestyle	573
34	7.0	1.0	0.0	8.0	0.0	0.07352941176469999	0.0	lifestyle	3600
35	4.0	1.0	0.0	10.0	0.0	0.0349206349206	0.55	lifestyle	343
36	27.0	20.0	0.0	10.0	0.0	0.0675241157556	1.0	tech	7700
37	9.0	0.0	1.0	9.0	0.0	0.031128404669300003	0.666666666667	social_media	2600
38	8.0	1.0	0.0	6.0	0.0	0.0375469336671	0.0	world	504
39	4.0	0.0	1.0	6.0	0.0	0.0567010309278	0.4	entertainment	2100
40	21.0	20.0	0.0	9.0	0.0	0.07818532818530001	0.0	tech	1100
41	0.0	1.0	0.0	8.0	0.0	0.0172413793103	0.0	tech	401
42	24.0	42.0	0.0	7.0	0.0	0.0638641875505	0.0	tech	4200
43	19.0	20.0	0.0	10.0	0.0	0.0749306197965	0.7	tech	1200
44	20.0	20.0	0.0	8.0	0.0	0.07729941291589999	0.0	tech	1500
45	2.0	1.0	0.0	5.0	0.0	0.0211267605634	0.0	business	575
46	25.0	20.0	0.0	8.0	0.0	0.06386554621849999	0.0	lifestyle	507
47	5.0	0.0	6.0	10.0	0.0	0.0496894409938	0.583333333333	entertainment	1200
48	21.0	20.0	0.0	9.0	0.0	0.07400722021660001	0.0	tech	695
49	20.0	20.0	0.0	8.0	0.0	0.0725436179982	0.0	tech	1200
50	2.0	0.0	1.0	10.0	0.0	0.0280373831776	0.85	tech	4900
51	21.0	20.0	0.0	8.0	0.0	0.08262711864410001	0.642857142857	tech	382
52	21.0	20.0	0.0	9.0	0.0	0.0766990291262	0.0	tech	400
53	5.0	1.0	0.0	6.0	0.0	0.0440528634361	0.42727272727300003	entertainment	4600
54	21.0	20.0	0.0	8.0	0.0	0.0717488789238	0.33333333333299997	tech	2400
55	7.0	1.0	0.0	10.0	0.0	0.039639639639599995	0.5	tech	1600
56	11.0	1.0	0.0	7.0	0.0	0.06329113924049999	0.65	lifestyle	1100
57	7.0	0.0	0.0	9.0	0.0	0.0384615384615	0.25	tech	1300
58	9.0	23.0	0.0	10.0	0.0	0.0518018018018	0.45454545454499995	business	819
59	5.0	10.0	1.0	6.0	0.0	0.05	0.5	tech	585
60	19.0	19.0	0.0	10.0	0.0	0.08203125	0.0	tech	536
61	3.0	1.0	0.0	9.0	0.0	0.0546218487395	0.0	tech	834
62	22.0	20.0	0.0	7.0	0.0	0.0757009345794	0.33333333333299997	tech	645
63	1.0	4.0	0.0	9.0	0.0	0.06263498920090001	0.06666666666669999	tech	598
64	21.0	20.0	0.0	9.0	0.0	0.0756218905473	0.0	tech	217
65	3.0	1.0	0.0	8.0	0.0	0.04962779156330001	0.75	tech	3200
66	1.0	1.0	1.0	9.0	0.0	0.0278884462151	0.375	tech	545
67	7.0	1.0	0.0	5.0	0.0	0.0378548895899	0.483333333333	world	1800
68	4.0	1.0	0.0	9.0	0.0	0.0677966101695	0.5	entertainment	1200
69	3.0	1.0	0.0	6.0	0.0	0.0917431192661	0.0	business	732
70	8.0	1.0	0.0	7.0	0.0	0.042606516290699996	0.0	world	1200
71	4.0	1.0	0.0	10.0	0.0	0.036956521739099996	0.0	tech	2800
72	3.0	1.0	0.0	6.0	0.0	0.038374717833	0.0	world	495
73	14.0	11.0	0.0	10.0	0.0	0.0550458715596	0.5	social_media	690
74	19.0	20.0	0.0	8.0	0.0	0.0748987854251	0.45454545454499995	tech	1300
75	7.0	1.0	0.0	8.0	0.0	0.037433155080199995	0.0	lifestyle	552
76	3.0	12.0	1.0	10.0	0.0	0.061797752808999996	0.45454545454499995	entertainment	631
77	10.0	1.0	1.0	7.0	0.0	0.0228384991843	0.0	social_media	4800
78	15.0	1.0	0.0	6.0	0.0	0.0561998215879	0.0	social_media	851
79	5.0	0.0	0.0	6.0	0.0	0.0416666666667	0.0	world	755
80	8.0	1.0	0.0	6.0	0.0	0.0289855072464	0.3	world	468
81	4.0	9.0	0.0	10.0	0.0	0.0223880597015	0.0	tech	4600
82	5.0	1.0	0.0	4.0	0.0	0.046263345195699995	0.0	entertainment	1300
83	14.0	1.0	0.0	10.0	0.0	0.028056112224400003	0.3	lifestyle	1200
84	5.0	9.0	0.0	10.0	0.0	0.026119402985099998	0.0	tech	1100
85	20.0	20.0	0.0	8.0	0.0	0.0778378378378	0.0	tech	1500
86	20.0	16.0	0.0	7.0	0.0	0.0344827586207	0.1	lifestyle	2400
87	3.0	1.0	0.0	10.0	0.0	0.0490196078431	0.666666666667	business	1200
88	3.0	1.0	1.0	5.0	0.0	0.06490649064910001	0.4	entertainment	1700
89	21.0	20.0	0.0	7.0	0.0	0.08508508508510002	0.8	tech	1200
90	20.0	20.0	0.0	7.0	0.0	0.07616221562810001	0.3	tech	500
91	6.0	13.0	0.0	6.0	0.0	0.0411622276029	0.06666666666669999	entertainment	455
92	1.0	0.0	0.0	7.0	0.0	0.0166666666667	0.0	tech	1100
93	17.0	1.0	0.0	6.0	0.0	0.040843214756300004	0.0	business	459
94	26.0	1.0	0.0	8.0	0.0	0.0554649265905	0.0	tech	1400
95	5.0	1.0	0.0	5.0	0.0	0.0331950207469	0.0	entertainment	6400
96	6.0	11.0	0.0	9.0	0.0	0.07142857142860001	1.0	social_media	4800
97	20.0	19.0	0.0	8.0	0.0	0.0731489741302	0.2	tech	695
98	32.0	1.0	0.0	8.0	0.0	0.0383304940375	0.0	lifestyle	341
99	3.0	0.0	11.0	9.0	0.0	0.0478723404255	0.1	entertainment	1900
100	3.0	0.0	1.0	6.0	0.0	0.0422535211268	0.54375	lifestyle	1200
